id|nct_id|outcome_type|measure|time_frame|population|description
191118069|NCT05350787|primary|The incidence of all grade TEAEs and ≥3 grade TEAEs|Up to 2 years after ThisCART19A infusion||Incidence of treatment-emergent adverse events (TEAEs) and ≥3 grade TEAEs
191118070|NCT05350787|secondary|Objective response rate|At Month 1, 2, 3||Objective response rate (ORR = CR + CRi) of ThisCART19A within 3 months after administration
191118071|NCT05350787|secondary|The change characteristics of chimeric antigen receptor(CAR)-T cell number and copy number in patients after infusion|3 months||Track CAR-T cells expansion in patients after infusion by flow cytometry and qPCR
191118072|NCT05350787|secondary|Changes in cytokine level after ThisCART19A infusion.|3 months||Calculate the change of cytokine level in peripheral blood by flow cytometry after ThisCART19A infusion. Cytokines include IL-1β、IL-2、IL-4、IL-6、IL-8、IL-10、IL-12、IL-17、TNF-α、IFN-γ、TGF-β.
191118073|NCT05350787|secondary|Changes in immune effect cells count after ThisCART19A infusion.|3 months||Calculate the change of immune effect cells count in peripheral blood by flow cytometry after ThisCART19A infusion. Immune effect cells include T cell, B cell, NK cell.
191118074|NCT05350787|secondary|MRD response rate|24 months||Percentage of participants with minimal residual disease (MRD) response in patients with CR (complete response) and CRi (CR with incomplete blood count recovery) ; MRD Response is defined as leukemic cells in bone marrow <0.01% by flow cytometry (sensitivity at least 0.001%)
191685659|NCT05243212|primary|Overall response rate|2 months||Overall response rate, two months after CAR-BCMA T-cell infusion determined in accordance with the International Myeloma Working Group (IMWG) guidance.
191685660|NCT05243212|primary|CAR BCMA related toxicity|2 years||Frequency of CAR-BCMA related toxicities: CRS and ICANS, according to ASTCT consensus grading (Lee 2019).
191685661|NCT05243212|primary|CAR BCMA related toxicity|2 years||Any AEs according to common Terminology Criteria for Adverse Events (CTCAE) version 5.0
191685662|NCT05243212|secondary|progression free survival|12 months||PFS is defined as the time CAR T -cell infusion to the date of either first documented relapse, progression or death due to any cause.
191685663|NCT05243212|secondary|overalll free survival|12 months||OS was defined as the time from CART-cell infusion to death of any cause
191119493|NCT04008251|primary|Number of participants with adverse events|5 years||Therapy-related adverse events were recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 4.0)
191119494|NCT04008251|secondary|One-month remission rate|1 month||Response of B-ALL to CAR-T therapy was assessed on day 30 (±2), against the National Comprehensive Cancer Network (NCCN, Version 1.2015).
191119495|NCT04008251|secondary|Overall survival|5 years||OS was calculated from the first CAR-T cell infusion to death or last follow-up (censored).
191119496|NCT04008251|secondary|Event-free survival|5 years||EFS was calculated from the first CAR-T cell infusion to death, progression of the disease, relapse or gene recurrence, whichever came first, or last visit (censored).
191119497|NCT04008251|secondary|Relapse-free survival|5 years||RFS was calculated from the first CAR-T cell infusion to relapse or last visit (censored).
191119498|NCT04008251|secondary|Rate of anti-CD19 CAR-T cells in bone marrow cells and peripheral blood cells|5 years||In vivo (bone marrow and peripheral blood) rate of CAR-T cells were determined by means of flow cytometry.
191119499|NCT04008251|secondary|Quantity of anti-CD19 CAR-T cells in bone marrow cells and peripheral blood cells|5 years||In vivo (bone marrow and peripheral blood) quantity of CAR-T cells were determined by means of flow cytometry.
191119500|NCT04008251|secondary|Quantity of anti-CD19 CAR copies in bone marrow cells and peripheral blood cells|5 years||In vivo (bone marrow and peripheral blood) quantity of anti-CD19 CAR copies were determined by means of qPCR.
191685910|NCT05128786|primary|DLT|28 days following infusion||To assess the safety and tolerability of CCT301-38 cell therapy for patients with AXL-positive (IHC 1+ or greater in ≥50% tumor cells) relapsed or refractory sarcomas.
191685911|NCT05128786|secondary|ORR|Up to 52 weeks||Proportion of subjects with the best overall response (BOR) of subjects with PR (partial response) and CR (complete response) as determined by local investigator using RECIST 1.1
191685912|NCT05128786|secondary|DCR|Up to 52 weeks||Disease control rate: The proportion of subjects with CR (complete response), PR (partial response) or SD (stable disease lasting over 6 months) as determined by local investigator using RECIST 1.1.
191685913|NCT05128786|secondary|DOR|Up to 52 weeks||Duration of response: The duration of time from record of response to first progression of disease as determined by RECIST 1.1 or death date not relevant to disease progression.
191685914|NCT05128786|secondary|PFS|Up to 52 weeks||Progression free survival: The time of disease progression by RECIST 1.1 or death since cell infusion.
191685915|NCT05128786|secondary|TEAE|Up to 52 weeks||Number, severity and duration of treatment of emergent adverse events (TEAEs) that occur during treatment according to NCI-CTCAE v 5.0.
191685916|NCT05128786|secondary|PK|Up to 52 weeks||The % of patients with detectable CCT301-38 cells in peripheral blood. [Time Frame: Up to 52 weeks]
191685917|NCT05128786|secondary|Biomarker|Up to 52 weeks||To evaluate the correlation of AXL biopsy score to ORR. [Time Frame: Up to 52 weeks]
191119674|NCT04011293|primary|Number of participants with treatment-related adverse events as assessed by CTCAE v5.0|24 months||
191119675|NCT04011293|primary|Overall remission rate (ORR)|3 months||
191119676|NCT04011293|secondary|Response at Day 28±3 days|1 month||
191119677|NCT04011293|secondary|Percentage of patients who achieve complete remission (CR) or complete remission with incomplete blood count recovery (CRi) (partial remission，PR) at month 6 without SCT between CNCT19 infusion and Month 6 response assessment.|6 months||
191119678|NCT04011293|secondary|Percentage of patients who achieve CR or CRi (PR) with minimal residual disease negative bone marrow.|6 months||
191119679|NCT04011293|secondary|Relapse-free survival|24 months||
191119680|NCT04011293|secondary|Progression-free survival|24 months||
191119681|NCT04011293|secondary|Percentage of patients who achieve best overall response (BOR)|24 months||
191119682|NCT04011293|secondary|Duration of remission (DOR)|24 months||
191119683|NCT04011293|secondary|Overall survival|24 months||
191119684|NCT04011293|secondary|Percentage of patient who achieve CR or CRi (PR) and then proceed to stem cell transplantation（SCT） while in remission.|24 months||
191119685|NCT04011293|secondary|Proportion of patients with detectable replication competent lentivirus (RCL) by vesicular stomatitis virus, glycoprotein (VSV-G)|at Month 3 post treatment then Month 6 and Month12, yearly until year 15 if CD19 chimeric antigen receptor (CAR) transgene is still detected||
191686397|NCT04782193|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)
191686398|NCT04782193|primary|The response rate of CD19 and CD22 prime CAR-T treatment in patients with relapse/refractory B Cell Lymphoma|6 months||The response rate of CD19 and CD22 prime CAR-T treatment will be recorded and assessed according to the National Comprehensive Cancer Network Guideline
191686399|NCT04782193|secondary|Rate of prime CAR-T cells in bone marrow|2 years||Determine the rate of prime CAR-T cells in bone marrow by means of flow cytometry
191686400|NCT04782193|secondary|Rate of prime CAR-T cells in peripheral blood|2 years||Determine the rate of prime CAR-T cells in peripheral blood by means of flow cytometry
191686401|NCT04782193|secondary|Quantity of prime CAR copies in bone marrow|2 years||Determine the quantity of prime CAR copies in bone marrow by qPCR
191686402|NCT04782193|secondary|Quantity of prime CAR copies in peripheral blood|2 years||Determine the quantity of prime CAR copies in peripheral blood by qPCR
191686403|NCT04782193|secondary|Rate of CD19 and CD22 positive cells in Bone marrow|1 years||Determine the rate of CD19 and CD22 positive cells in bone marrow by flow cytometry
191686404|NCT04782193|secondary|Levels of IL-6 in Serum|3 months||Serological determination of IL-6
191686405|NCT04782193|secondary|Levels of IL-10 in Serum|3 months||Serological determination of IL-10
191686406|NCT04782193|secondary|Levels of TNF-α in Serum|3 months||Serological determination of TNF-α
191686407|NCT04782193|secondary|Levels of CRP in Serum|3 months||Serological determination of CRP
191686408|NCT04782193|secondary|Duration of Response (DOR) of CD19 and CD22 prime CAR-T treatment in patients with refractory/relapsed B Cell Lymphoma|2 years||DOR will be assessed from the first assessment of CR/CRi to the first assessment of recurrence or progression of the disease or death from any cause (censored)
191686409|NCT04782193|secondary|Progress-free survival(PFS) of CD19 and CD22 targeted prime CAR-T treatment in patients with refractory/relapsed B Cell Lymphoma|2 years||PFS will be assessed from the first prime CAR-T cell infusion to death from any cause or the first assessment of progression (censored)
191686410|NCT04782193|secondary|Overall survival(OS) of CD19 and CD22 prime CAR-T treatment in patients with refractory/relapsed B Cell Lymphoma|2 years||OS will be assessed from the first primeCAR-T cell infusion to death from any cause (censored)
191686411|NCT04781634|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)
191686412|NCT04781634|primary|The response rate of CD19 and CD22 prime CAR-T treatment in patients with relapse/refractory B-ALL|6 months||The response rate of CD19 and CD22 prime CAR-T treatment will be recorded and assessed according to the National Comprehensive Cancer Network Guideline
191686413|NCT04781634|secondary|Rate of prime CAR-T cells in bone marrow|2 years||Determine the rate of prime CAR-T cells in bone marrow by flow cytometry
191686414|NCT04781634|secondary|Rate of prime CAR-T cells in peripheral blood|2 years||Determine the rate of prime CAR-T cells in peripheral blood by flow cytometry
191686415|NCT04781634|secondary|Quantity of prime CAR copies in bone marrow|2 years||Determine the quantity of prime CAR copies in bone marrow by qPCR
191686416|NCT04781634|secondary|Quantity of prime CAR copies in peripheral blood|2 years||Determine the quantity of prime CAR copies in peripheral blood by qPCR
191686417|NCT04781634|secondary|Rate of CD19 and CD22 positive cells in Bone marrow|1 years||Determine the rate of CD19 and CD22 positive cells in bone marrow by flow cytometry
191686418|NCT04781634|secondary|Levels of IL-6 in Serum|3 months||Serological determination of IL-6
191686419|NCT04781634|secondary|Levels of IL-10 in Serum|3 months||Serological determination of IL-10
191686420|NCT04781634|secondary|Levels of TNF-α in Serum|3 months||Serological determination of TNF-α
191686421|NCT04781634|secondary|Levels of CRP in Serum|3 months||Serological determination of CRP
191686422|NCT04781634|secondary|Duration of Response (DOR) of CD19 and CD22 prime CAR-T treatment in patients with refractory/relapsed B-ALL|2 years||DOR will be assessed from the first assessment of CR/CRi to the first assessment of recurrence or progression of the disease or death from any cause (censored)
191686423|NCT04781634|secondary|Progress-free survival(PFS) of CD19 and CD22 targeted prime CAR-T treatment in patients with refractory/relapsed B-ALL|2 years||PFS will be assessed from the first prime CAR-T cell infusion to death from any cause or the first assessment of progression (censored)
191686424|NCT04781634|secondary|Overall survival(OS) of CD19 and CD22 prime CAR-T treatment in patients with refractory/relapsed B-ALL|2 years||OS will be assessed from the first primeCAR-T cell infusion to death from any cause (censored)
191686425|NCT04776330|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)
191686426|NCT04776330|primary|The response rate of BCMA targeted prime CAR-T treatment in patients with relapse/refractory Multiple Myeloma that treatment by BCMA targeted prime CAR-T cells therapy|2 years||The response rate of BCMA targeted prime CAR-T treatment will be recorded and assessed according to the IMWG
191686427|NCT04776330|secondary|Rate of BCMA targeted prime CAR-T cells in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) rate of BCMA targeted prime CAR-T cells were determined by means of flow cytometry
191686428|NCT04776330|secondary|Quantity of BCMA targeted prime CAR copies in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) quantity of BCMA targeted prime CAR copies were determined by means of qPCR
191686429|NCT04776330|secondary|Quantity of clonal plasma cells in bone marrow|1 years||In vivo (bone marrow) quantity of clonal plasma cells
191686430|NCT04776330|secondary|Levels of IL-6 in Serum|1years||In vivo (Serum) quantity of IL-6
191686431|NCT04776330|secondary|Duration of Response (DOR) of BCMA targeted prime CAR-T treatment in patients with refractory/relapsed multiple myeloma|2 years||DOR will be assessed from the first assessment of sCR/CR/VGPR/PR to the first assessment of recurrence or progression of the disease or death from any cause (censored)
191686432|NCT04776330|secondary|Progress-free survival(PFS) of BCMA targeted prime CAR-T treatment in patients with refractory/relapsed multiple myeloma|2 years||PFS will be assessed from the first prime CAR-T cell infusion to death from any cause or the first assessment of progression (censored)
191686433|NCT04776330|secondary|Overall survival(OS) of BCMA targeted prime CAR-T treatment in patients with refractory/relapsed multiple myeloma|2 years||OS will be assessed from the first prime CAR-T cell infusion to death from any cause (censored)
191686692|NCT04649983|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)
191686693|NCT04649983|primary|The response rate of CD19 and CD22 CAR-T treatment in patients with relapse/refractory B Cell Leukemia and Lymphoma|6 months||The response rate of CD19 and CD22 CAR-T treatment will be recorded and assessed according to the National Comprehensive Cancer Network Guideline
191686694|NCT04649983|secondary|Rate of CD19 and CD22 CAR-T cells in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) rate of CD19 and CD22 CAR-T cells were determined by means of flow cytometry
191686695|NCT04649983|secondary|Quantity of CD19 and CD22 CAR copies in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) quantity of CD19 and CD22 CAR copies were determined by means of qPCR
191686696|NCT04649983|secondary|Cellular kinetics of CD19 and CD22 positive cells in Bone marrow|1 years||In vivo (bone marrow) rate and quantity of CD19 and CD22 positive cells were determined by means of flow cytometry
191686697|NCT04649983|secondary|Levels of Cytokines in Serum|3 months||In vivo (Serum) quantity of cytokines(IL-6、IL-10、TNF-α、CRP)
191686698|NCT04649983|secondary|Duration of Response (DOR) of CD19 and CD22 CAR-T treatment in patients with refractory/relapsed B Cell Leukemia and Lymphoma|2 years||DOR will be assessed from the first assessment of CR/CRi to the first assessment of recurrence or progression of the disease or death from any cause (censored)
191686699|NCT04649983|secondary|Progress-free survival(PFS) of CD19 and CD22 CAR-T treatment in patients with refractory/relapsed B Cell Leukemia and Lymphoma|2 years||PFS will be assessed from the first CAR-T cell infusion to death from any cause or the first assessment of progression (censored)
191686700|NCT04649983|secondary|Overall survival(OS) of CD19 and CD22 CAR-T treatment in patients with refractory/relapsed B Cell Leukemia and Lymphoma|2 years||OS will be assessed from the first CAR-T cell infusion to death from any cause (censored)
191686701|NCT04648475|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0).
191686702|NCT04648475|primary|The response rate of CD19 and CD22 CAR-T treatment in patients with relapse/refractory B Cell Leukemia and Lymphoma|6 months||The response rate of CD19 and CD22 CAR-T treatment will be recorded and assessed according to the National Comprehensive Cancer Network Guideline.
191686703|NCT04648475|secondary|Rate of CD19 and CD22 CAR-T cells in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) rate of CD19 and CD22 CAR-T cells were determined by means of flow cytometry
191686704|NCT04648475|secondary|Quantity of CD19 and CD22 CAR copies in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) quantity of CD19 and CD22 CAR copies were determined by means of qPCR
191686705|NCT04648475|secondary|Cellular kinetics of CD19 and CD22 positive cells in Bone marrow|1 years||In vivo (bone marrow) rate and quantity of CD19 and CD22 positive cells were determined by means of flow cytometry
191686706|NCT04648475|secondary|Levels of IL-6 in Serum|3 months||In vivo (Serum) quantity of IL-6
191686707|NCT04648475|secondary|Levels of IL-10 in Serum|3 months||In vivo (Serum) quantity of IL-10
191686708|NCT04648475|secondary|Levels of TNF-α in Serum|3 months||In vivo (Serum) quantity of TNF-α
191686709|NCT04648475|secondary|Levels of CRP in Serum|3 months||In vivo (Serum) quantity of CRP
191686710|NCT04648475|secondary|Duration of Response (DOR) of CD19 and CD22 CAR-T treatment in patients with refractory/relapsed B Cell Leukemia and Lymphoma|2 years||DOR will be assessed from the first assessment of CR/CRi to the first assessment of recurrence or progression of the disease or death from any cause (censored)
191686711|NCT04648475|secondary|Progress-free survival(PFS) of CD19 and CD22 CAR-T treatment in patients with refractory/relapsed B Cell Leukemia and Lymphoma|2 years||PFS will be assessed from the first CAR-T cell infusion to death from any cause or the first assessment of progression (censored).
191686712|NCT04648475|secondary|Overall survival(OS) of CD19 and CD22 CAR-T treatment in patients with refractory/relapsed B Cell Leukemia and Lymphoma|2 years||OS will be assessed from the first CAR-T cell infusion to death from any cause (censored)
191686994|NCT04511871|primary|MTD: to determine the maximum tolerated dose of CCT303-406|28 days following infusion||To assess the DLT (dose limiting toxicities) attributed to CCT303-406 per cohort and determine the RP2D (recommended phase 2 dose).
191686995|NCT04511871|secondary|ORR (overall response rate): Proportion of subjects with the best overall response (BOR)|Up to 52 weeks||Best overall response (BOR) of subjects with PR (partial response) and CR (complete response) as determined by local investigator using RECIST 1.1
191686996|NCT04511871|secondary|12 month survival rate|Up to 52 weeks||The proportion of living subjects within 52 weeks of infusion
191686997|NCT04511871|secondary|DCR: Disease control rate|Up to 52 weeks||The proportion of subjects with CR (complete response), PR (partial response) or SD (stable disease lasting over 6 months) as determined by local investigator using RECIST 1.1.
191686998|NCT04511871|secondary|DOR: Duration of reponse|Up to 52 weeks||The duration of time from record of response to first progression of disease as determined by RECIST 1.1 or death date not relevant to disease progression
191686999|NCT04511871|secondary|PFS: Progression free survival|Up to 52 weeks||The time of disease progression by RECIST 1.1 or death since cell infusion
191687000|NCT04511871|secondary|AE: Adverse Events|Up to 52 weeks||The incidence, severity and duration of AE, TEAE and SAE as determined by NCI-CTCAE v5.0
191687001|NCT04511871|secondary|The expansion over time of genetically modified CCT303-406 cells in the peripheral blood as determined by QPCR (copies/ug gDNA)|Up to 52 weeks||PK: Pharmacokinetics
191687002|NCT04511871|secondary|The persistence over time of genetically modified CCT303-406 cells in the peripheral blood as determined by Flow Cytometry (% CAR + cells)|Up to 52 weeks||PK: Pharmacokinetics
191687003|NCT04511871|other|Exploration of target-efficacy correlation|Up to 52 weeks||The correlation between levels of HER2 expression and ORR
191687112|NCT04348643|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)
191687113|NCT04348643|secondary|The response rate of CEA CAR-T treatment in patients with relapse/refractory CEA+ Cancer that treatment by CEA CAR-T cells therapy|6 months||The response rate of CEA CAR-T treatment will be recorded and assessed according to the irRECIST Version 1.1
191687114|NCT04348643|secondary|Duration of Response (DOR) of CEA CAR-T treatment in patients with refractory/relapsed CEA+ Cancer|2 years||DOR will be assessed from the first assessment of CR/PR/SD to the first assessment of recurrence or progression of the disease or death from any cause
191687115|NCT04348643|secondary|Progress-free survival(PFS) of CEA CAR-T treatment in patients with refractory/relapsed CEA+ Cancer|2 years||PFS will be assessed from the first CAR-T cell infusion to death from any cause or the first assessment of progression
191687116|NCT04348643|secondary|Overall survival(OS) of CEA CAR-T treatment in patients with refractory/relapsed CEA+ Cancer|2 years||OS will be assessed from the first CAR-T cell infusion to death from any cause
191687117|NCT04348643|secondary|Levels of CEA in Serum|2 years||In vivo (Serum) quantity of CEA
191687118|NCT04348643|secondary|Rate of CEA CAR-T cells in peripheral blood|2 years||In vivo (peripheral blood) rate of CEA CAR-T cells were determined by means of flow cytometry
191687119|NCT04348643|secondary|Quantity of CEA CAR copies in peripheral blood|2 years||In vivo (peripheral blood) quantity of CEA CAR copies were determined by means of qPCR
191687120|NCT04348643|secondary|Levels of IL-6 in Serum|3 months||In vivo (Serum) quantity of IL-6
191687121|NCT04348643|secondary|Levels of CRP in Serum|3 months||In vivo (Serum) quantity of CRP
191687168|NCT04272151|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)
191687169|NCT04272151|primary|The response rate of BCMA CAR-T treatment in patients with relapse/refractory Multiple Myeloma that treatment by BCMA CAR-T cells therapy|6 months||The response rate of BCMA CAR-T treatment will be recorded and assessed according to the IMWG
191687170|NCT04272151|secondary|Rate of BCMA CAR-T cells in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) rate of BCMA CAR-T cells were determined by means of flow cytometry
191687171|NCT04272151|secondary|Quantity of BCMA CAR copies in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) quantity of BCMA CAR copies were determined by means of qPCR
191687172|NCT04272151|secondary|Quantity of clonal plasma cells in bone marrow|1 years||In vivo (bone marrow) quantity of clonal plasma cells
191687173|NCT04272151|secondary|Levels of IL-6 in Serum|3 months||In vivo (Serum) quantity of IL-6
191687174|NCT04272151|secondary|Duration of Response (DOR) of BCMA CAR-T treatment in patients with refractory/relapsed Multiple Myeloma|2 years||DOR will be assessed from the first assessment of sCR/CR/VGPR/PR to the first assessment of recurrence or progression of the disease or death from any cause (censored)
191687175|NCT04272151|secondary|Progress-free survival(PFS) of BCMA CAR-T treatment in patients with refractory/relapsed multiple myeloma|2 years||PFS will be assessed from the first CAR-T cell infusion to death from any cause or the first assessment of progression (censored)
191687176|NCT04272151|secondary|Overall survival(OS) of BCMA CAR-T treatment in patients with refractory/relapsed multiple myeloma|2 years||OS will be assessed from the first CAR-T cell infusion to death from any cause (censored)
191687177|NCT04272125|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)
191687178|NCT04272125|primary|The response rate of CD123 CAR-T treatment in patients with relapse/refractory Acute Myeloid Leukemia that treatment by CD123 CAR-T cells therapy|6 months||The response rate of CD123 CAR-T treatment will be recorded and assessed according to the National Comprehensive Cancer Network Guideline
191687179|NCT04272125|secondary|Rate of CD123 CAR-T cells in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) rate of CD123 CAR-T cells were determined by means of flow cytometry
191687180|NCT04272125|secondary|Quantity of CD123 CAR copies in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) quantity of CD123 CAR copies were determined by means of qPCR
191687181|NCT04272125|secondary|Cellular kinetics of CD123 positive cells in bone marrow|1 years||In vivo (bone marrow) rate and quantity of CD123 positive cells were determined by means of flow cytometry
191687182|NCT04272125|secondary|Levels of cytokines in serum|3 months||In vivo (serum) quantity of cytokines
191687183|NCT04272125|secondary|Duration of Response (DOR) of CD123 CAR-T treatment in patients with refractory/relapsed acute myeloid leukemia|2 years||DOR will be assessed from the first assessment of CR/CRi to the first assessment of recurrence or progression of the disease or death from any cause (censored)
191687184|NCT04272125|secondary|Progress-free survival(PFS) of CD123 CAR-T treatment in patients with refractory/relapsed acute myeloid leukemia|2 year||PFS will be assessed from the first CAR-T cell infusion to death from any cause or the first assessment of progression (censored)
191687185|NCT04272125|secondary|Overall survival(OS) of CD123 CAR-T treatment in patients with refractory/relapsed acute myeloid leukemia|2 years||OS will be assessed from the first CAR-T cell infusion to death from any cause (censored)
191687186|NCT04271800|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)
191687187|NCT04271800|primary|The response rate of CD19 CAR-T treatment in patients with relapse/refractory CD19+ B Cell Leukemia and Lymphoma that treatment by CD19 CAR-T cells therapy|6 months||The response rate of CD19 CAR-T treatment will be recorded and assessed according to the National Comprehensive Cancer Network Guideline
191687188|NCT04271800|secondary|Rate of CD19 CAR-T cells in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) rate of CD19 CAR-T cells were determined by means of flow cytometry
191687189|NCT04271800|secondary|Quantity of CD19 CAR copies in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) quantity of CD19 CAR copies were determined by means of qPCR
191687190|NCT04271800|secondary|Cellular kinetics of CD19 positive cells in bone marrow|1 years||In vivo (bone marrow) rate and quantity of CD19 positive cells were determined by means of flow cytometry
191687191|NCT04271800|secondary|Levels of Cytokines in Serum|3 months||In vivo (Serum) quantity of cytokines
191687192|NCT04271800|secondary|Duration of Response (DOR) of CD19 CAR-T treatment in patients with refractory/relapsed CD19+ B Cell Leukemia and Lymphoma|2 years||DOR will be assessed from the first assessment of CR/CRi to the first assessment of recurrence or progression of the disease or death from any cause (censored)
191687193|NCT04271800|secondary|Progress-free survival(PFS) of CD19 CAR-T treatment in patients with refractory/relapsed CD19+ B Cell Leukemia and Lymphoma|2 years||PFS will be assessed from the first CAR-T cell infusion to death from any cause or the first assessment of progression (censored)
191687194|NCT04271800|secondary|Overall survival(OS) of CD19 CAR-T treatment in patients with refractory/relapsed CD19+ B Cell Leukemia and Lymphoma|2 years||OS will be assessed from the first CAR-T cell infusion to death from any cause (censored)
191687195|NCT04271644|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)
191687196|NCT04271644|primary|The response rate of BCMA CAR-T treatment in patients with relapse/refractory Multiple Myeloma that treatment by BCMA CAR-T cells therapy|2 years||The response rate of BCMA CAR-T treatment will be recorded and assessed according to the IMWG
191687197|NCT04271644|secondary|Rate of BCMA CAR-T cells in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) rate of BCMA CAR-T cells were determined by means of flow cytometry
191687198|NCT04271644|secondary|Quantity of BCMA CAR copies in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) quantity of BCMA CAR copies were determined by means of qPCR
191687199|NCT04271644|secondary|Quantity of clonal plasma cells in bone marrow|1 years||In vivo (bone marrow) quantity of clonal plasma cells
191687200|NCT04271644|secondary|Levels of Cytokines in Serum|1 years||In vivo (Serum) quantity of cytokines
191687201|NCT04271644|secondary|Duration of Response (DOR) of BCMA CAR-T treatment in patients with refractory/relapsed multiple myeloma|2 years||DOR will be assessed from the first assessment of sCR/CR/VGPR/PR to the first assessment of recurrence or progression of the disease or death from any cause (censored)
191687202|NCT04271644|secondary|Progress-free survival(PFS) of BCMA CAR-T treatment in patients with refractory/relapsed multiple myeloma|2 years||PFS will be assessed from the first CAR-T cell infusion to death from any cause or the first assessment of progression (censored)
191687203|NCT04271644|secondary|Overall survival(OS) of BCMA CAR-T treatment in patients with refractory/relapsed multiple myeloma|2 years||OS will be assessed from the first CAR-T cell infusion to death from any cause (censored)
191687204|NCT04271410|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0)
191687205|NCT04271410|primary|The response rate of CD19 CAR-T treatment in patients with relapse/refractory B Cell Leukemia and Lymphoma that treatment by CD19 CAR-T cells therapy|2 years||The response rate of CD19 CAR-T treatment will be recorded and assessed according to the National Comprehensive Cancer Network Guideline
191687206|NCT04271410|secondary|Rate of CD19 CAR-T cells in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) rate of CD19 CAR-T cells were determined by means of flow cytometry
191687207|NCT04271410|secondary|Quantity of CD19 CAR copies in bone marrow and peripheral blood|2 years||In vivo (bone marrow and peripheral blood) quantity of CD19 CAR copies were determined by means of qPCR
191687208|NCT04271410|secondary|Cellular kinetics of CD19 positive cells in bone marrow|1 years||In vivo (bone marrow) rate and quantity of CD19 positive cells were determined by means of flow cytometry
191687209|NCT04271410|secondary|Duration of Response (DOR) of CD19 CAR-T treatment in patients with refractory/relapsed B Cell Leukemia and Lymphoma|2 years||DOR will be assessed from the first assessment of CR or CRi to the first assessment of recurrence or progression of the disease or death from any cause (censored)
191687210|NCT04271410|secondary|Progress-free survival(PFS) of CD19 CAR-T treatment in patients with refractory/relapsed B Cell Leukemia and Lymphoma|2 years||PFS will be assessed from the first CAR-T cell infusion to death from any cause or the first assessment of progression (censored)
191687211|NCT04271410|secondary|Overall survival(OS) of CD19 CAR-T treatment in patients with refractory/relapsed B Cell Leukemia and Lymphoma|2 years||OS will be assessed from the first CAR-T cell infusion to death from any cause (censored)
191687212|NCT04265963|primary|Adverse events that related to treatment|2 years||Therapy-related adverse events will be recorded and assessed according to the National Cancer Institute's Common Terminology Criteria for Adverse Events (CTCAE, Version 5.0).
191687213|NCT04265963|primary|The response rate of CD123 CAR-T treatment in patients with relapse/refractory AML that treatment by CD123 CAR-T cells therapy|2 years||The response rate of CD123 CAR-T treatment will be recorded and assessed according to the National Comprehensive Cancer Network Guideline.
