id|nct_id|outcome_type|title|description|time_frame|population|anticipated_posting_date|anticipated_posting_month_year|units|units_analyzed|dispersion_type|param_type
33104179|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Cognitive Functioning Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Functional scale and global health status/HRQoL higher scale score represents a higher level of well-being and better ability of daily functioning."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104180|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Global Health/QoL Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Functional scale and global health status/HRQoL higher scale score represents a higher level of well-being and better ability of daily functioning."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104181|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Role Functioning Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Functional scale and global health status/HRQoL higher scale score represents a higher level of well-being and better ability of daily functioning."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104182|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Emotional Functioning Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Functional scale and global health status/HRQoL higher scale score represents a higher level of well-being and better ability of daily functioning."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104183|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Social Functioning Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Functional scale and global health status/HRQoL higher scale score represents a higher level of well-being and better ability of daily functioning."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104184|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Pain Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Symptom scale/item higher score represents a high level of symptomatic problem."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104185|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Nausea/Vomiting Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Symptom scale/item higher score represents a high level of symptomatic problem."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104186|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Constipation Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Symptom scale/item higher score represents a high level of symptomatic problem."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104187|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Diarrhea Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Symptom scale/item higher score represents a high level of symptomatic problem."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104188|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Insomnia Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Symptom scale/item higher score represents a high level of symptomatic problem."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104189|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Dyspnea Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Symptom scale/item higher score represents a high level of symptomatic problem."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104190|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Appetite Loss Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Symptom scale/item higher score represents a high level of symptomatic problem."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104191|NCT03483103|Secondary|Mean Score in the European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (EORTC-QLQ-30) Financial Difficulties Subscale|"Health Related Quality of Life (HRQoL) was assessed using the EORTC QLQ-C30 questionnaire.~The EORTC QLQ-C30 is a 30-item scale composed of both multi-item scales and single-item measures.~All of the scales and single-item measures range in score from 0 to 100. A 10-point change in the scoring is considered to be a meaningful change in HRQoL.~Functional scale and global health status/HRQoL higher scale score represents a higher level of well-being and better ability of daily functioning."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104192|NCT03483103|Secondary|Health-Related Quality of Life (HRQoL) Assessed by the FACT-Lym Subscale|"The Functional Assessment of Cancer Treatment-Lymphoma (FACT-Lym) consists of the FACT-General scale and a 15-item lymphoma-specific additional concerns subscale (LYM). This scale addresses symptoms and functional limitations that are important to lymphoma patients. The LYM items are scored on a 0 (Not at all) to 4 (Very much) response scale. Items are aggregated to a single score on a 0-60 scale."|Baseline and Day 29|All participants who received at least one JCAR017 infusion who has an analyzable baseline scale and at least one post-baseline analyzable scale|||Scores on a scale||Standard Deviation|Mean
33104193|NCT03483103|Secondary|Health-Related Quality of Life (HRQoL) Assessed by the EuroQol Instrument EQ-5D-5L|The European Quality of Life 5D-5L Scale (EQ-5D-5L) assesses general health-related quality of life. Health is defined in 5 dimensions: mobility, self-care, usual activities, pain/discomfort, and anxiety/depression. Each dimension has 5 levels: no problems, slight problems, moderate problems, severe problems, and extreme problems. Responses are coded so that a '1' indicates no problem, and '5' indicates the most serious problem. The responses for the 5 dimensions are combined in a 5-digit number. These health states are converted to a single index value using the crosswalk method to the EQ-5D-3L value set from the United Kingdom (UK). The EQ-5D-5L health states ranged from -.594 for the worst (55555) to 1 for the best (11111) for UK value set with an optimal health state is assigned a score of 1.00, death is assigned a score of 0.00 and negative values representing values as worse than dead. A change of .08 is considered to be a clinically meaningful change in health utility.|Baseline and Day 29|All participants who received at least one JCAR017 infusion who completed 5-dimension measures at baseline and at least one post-baseline|||Scores on a scale||Standard Deviation|Mean
33104194|NCT03483103|Secondary|Numbers of Intensive Care Unit (ICU) Inpatient Days|The numbers of ICU inpatient days.|From first dose after JCAR017 infusion to up to approximately 24 months|All participants who received at least one infusion of JCAR017 who were monitored inpatient|||Day||Full Range|Median
33104195|NCT03483103|Secondary|Numbers of Non-intensive Care Unit (ICU) Inpatient Days|Number of non-ICU inpatient days.|From first dose after JCAR017 infusion to up to approximately 24 months|All participants who received at least one infusion of JCAR017 who were monitored inpatient|||Day||Full Range|Median
33104196|NCT03483103|Secondary|The Number of Participants That Were Hospitalized For Adverse Events, Prophylaxis, Other|Length of hospitalization stay was reported for up to 24 months post liso-cel infusion. Reasons for hospitalization include adverse events, prophylaxis, and other. Adverse events were reported for up to 90 days post liso-cel infusion.|From first dose after JCAR017 infusion to up to approximately 24 months|All participants who received at least one infusion of JCAR017 who were monitored inpatient|||Participants|||Number
33221219|NCT00924326|Primary|Number of Participants With a Response Assessed by the Response Criteria for Malignant Lymphoma|Participants were assessed by the Response Criteria for Malignant Lymphoma. Complete Remission (CR) is complete disappearance of all detectable evidence of disease and disease-related symptoms if present before therapy. Partial Remission (PR) requires ≥50% decrease in sum of the product of the diameters (SPD) of up to 6 of the largest dominant nodes or nodal masses; no increase in size of nodes, liver or spleen and no new sites of disease. Progressive disease (PD) is defined by ≥50% increase from nadir in the sum of the products of at least two lymph nodes, or if a single node is involved at least a 50% increase in the product of the diameters of this one node; and appearance of a new lesion greater than 1.5 cm in any axis even if other lesions are decreasing in size. Stable disease (SD) is neither sufficient shrinkage to qualify for PR nor sufficient increase to qualify for PD.|Scans performed at 6 weeks, 12 weeks and every 3-6 months for approximately 2 years|"1x10^9-1x10^10 Cells/kg + High-dose Interleukin-2 Retreat Arm/Group: 3 participants in group 1 (1x10e9-1x10e10 cells/kg + high-dose IL2)) initially responded but were then retreated in group 2 after progression."|||Participants|||Count of Participants
33221220|NCT00924326|Secondary|Number of Participants With Serious and Non-serious Adverse Events Assessed by the Common Terminology Criteria in Adverse Events (CTCAE v3.0).|Here is the count of participants with serious and non-serious adverse events assessed by the Common Terminology Criteria in Adverse Events (CTCAE v3.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Date treatment consent signed to date off study, approximately 101 months and 17 days.||||Participants|||Count of Participants
33227083|NCT03289455|Primary|Number of Patients With Grade 3-5 Toxicities Occurring Within the Dose Limiting Toxicity (DLT) Period of AUTO3 Infusion||Within 30 days (+/- 3 days) after the last dose of AUTO3.|Patients who received at least 1 (complete or partial) dose of AUTO3 (infused set)|||Participants|||Count of Participants
33227084|NCT03289455|Primary|Number of Patients With Dose Limiting Toxicity (DLT) of AUTO3|DLT was defined as i) any new non-hematological adverse event (AE) of Grade 3 or higher toxicity using the NCI CTCAE (version 5.0), which was probably or definitely related to AUTO3 therapy, which occurred within the DLT evaluation period, and which failed to resolve to Grade 2 or better within 14 days, despite appropriate supportive measures; ii) Grade 4 cytokine release syndrome (CRS) or neurotoxicity, cerebral edema, or Grade 3 neurotoxicity (including cerebral edema) that lasted >72 hours; iii) Grade >3 disseminated intravascular coagulation; iv) Grade >2 infusion reaction; v) Any other fatal event (Grade 5) or life-threatening event (Grade 4) that could not be managed with conventional supportive measures or which in the opinion of the Safety Evaluation Committee (SEC) necessitated dose reduction or other modification to trial treatment to avoid a similar hazard in future patients.|Within 30 days (+/- 3 days) after the last dose of AUTO3.||||Participants|||Count of Participants
33227085|NCT03289455|Primary|Number of Patients Achieving Morphological Remission (Complete Response(CR) or Complete Response With Incomplete Count Recovery (CRi) and Minimal Residual Disease (MRD)-Negative Response in the Bone Marrow (PCR)).|Morphological response evaluations were based on the response criteria for ALL according to the NCCN guidelines version 2.2014. Minimal residual disease-negative status was achieved if MRD was <10^-4 (0.01%) by PCR amplification of individual rearrangements of Ig genes and/or flow cytometry MRD testing.|Within 30 days (+/- 3 days) post AUTO3 infusion|Patients who received at least 1 (complete or partial) dose of AUTO3 (infused set).|||Participants|||Count of Participants
33227086|NCT03289455|Secondary|Feasibility of Generating AUTO3: Number of Patients' Cells Successfully Manufactured as a Proportion of the Number of Patients Undergoing Leukapheresis|Feasibility of product generation was examined by assessing the number of AUTO3 successfully manufactured as a fraction of the number of patients undergoing leukapheresis (all patients screened).|Up to 8 weeks post leukapheresis|Patients who underwent leukapheresis. This outcome is measured before patients received infusion with AUTO3. Therefore, no split by dose cohort can be provided.|||Participants|||Count of Participants
33227087|NCT03289455|Secondary|Event-Free Survival (EFS) by Morphological Analysis|Time from date of first AUTO3 infusion until the earliest of treatment failure (defined as not achieving CR/CRi post AUTO3 infusion / no response), morphological relapse, or death due to any cause, whichever occurred first.|Up to 2 years|Patients who received at least 1 (complete or partial) dose of AUTO3 (infused set)|||months||95% Confidence Interval|Median
33227088|NCT03289455|Secondary|Number of Patients With CD19- and/or CD22-negative Relapse||Up to 2 years|Patients who received at least 1 (complete or partial dose) of AUTO3 and had morphological relapses|||Participants|||Count of Participants
33227089|NCT03289455|Secondary|Relapse-Free Survival (RFS) by Morphological Analysis|Time from first achievement of morphological CR/CRi post AUTO3 treatment until the earliest of morphological relapse, or death due to any cause, whichever occurred first.|Up to 2 years|Patients who received at least 1 (complete or partial) dose of AUTO3 (infused set)|||months||95% Confidence Interval|Median
33227090|NCT03289455|Secondary|Overall Survival (OS)|Calculated from the date of AUTO3 treatment to the date of death anytime post AUTO3 infusion. Patients who had not died were censored at the date of last contact.|Up to 2 years after the last patient was infused|Patients who received at least 1 (complete or partial) dose of AUTO3|||months||95% Confidence Interval|Median
33227091|NCT03289455|Secondary|Expansion of AUTO3 Following Adoptive Transfer|Expansion of AUTO3 was measured as the median peak (Cmax) of transgene levels in the peripheral blood after AUTO3 infusion|Up to 2 years|Patients who received at least 1 (complete or partial) dose of AUTO3 and had evaluable cellular kinetics data (who had at least 1 cellular kinetics concentration post AUTO3 infusion above the lower limit of quantitation) (cellular kinetics analysis set)|||vector copies/ug DNA||Full Range|Median
33227092|NCT03289455|Secondary|Persistence of AUTO3 Following Adoptive Transfer|"Persistence of AUTO3 was measured by quantitative polymerase chain reaction (qPCR) and/or flow cytometry at a range of time points in the peripheral blood and the bone marrow.~Persistence was defined as the timepoint in days of last detectable CAR T cell by qPCR or last assessment if zero copies per μg DNA (whichever occurred later) before morphological relapse (Tlast)."|Up to 2 years|Patients who received at least 1 (complete or partial) dose of AUTO3 and had evaluable cellular kinetics data (who had at least 1 cellular kinetics concentration post AUTO3 infusion above the lower limit of quantitation) (cellular kinetics analysis set)|||days||Full Range|Median
33227093|NCT03289455|Secondary|Duration of B Cell Aplasia|Depletion of circulating B cells assessed by flow cytometry at a range of time points in the peripheral blood|Up to 2 years|Patients who received at least 1 (complete or partial) dose of the pre-conditioning regimen (safety set)|||months||95% Confidence Interval|Median
33336652|NCT01454596|Primary|Number of Treatment Related Adverse Events|Aggregate of all adverse events ≥Grade 3 that are possibly, probably, and definitely related to treatment. Adverse events were assessed by the Common Terminology Criteria in Adverse Events (CTCAE v4.0). Per CTCAE, Grade 3 adverse events are severe, Grade 4 is life threatening, and Grade 5 is death.|From 4 weeks after cell infusion up to 77 days||||adverse events|||Number
33336653|NCT01454596|Primary|Progression Free Survival|Progression was assessed by the Response Assessment in Neuro-Oncology (RANO) criteria and is defined as the circumstance when the magnetic resonance imaging (MRI) scan is ranked -2 (definitely worse) or -3 (development of a new lesion).|Time from the date of registration to the date of first observation of progressive disease up to 6 months after end of treatment|Combined steroids/no steroids, Cohort 8: participant experienced a treatment-related mortality (TRM).|||months||Inter-Quartile Range|Median
33336654|NCT01454596|Secondary|Number of Patients With an Objective Response|Objective response was assessed by comparison with baseline dynamic contrast enhanced magnetic resonance imaging with perfusion using Neuro-oncology Working Group proposed guidelines. Complete Response is disappearance of all measurable and non-measurable disease for at least 4 weeks. Partial Response is >/= 50% decrease in lesions for at least 4 weeks. Stable Disease does not meet the criteria for complete response, partial response or progression and requires stable lesions compared with baseline. Progression is >/= 25% increase in lesions.|4 weeks after cell infusion and monthly as feasible up to 12 months||||Participants|||Count of Participants
33336655|NCT01454596|Secondary|Circulating Chimeric Antigen Receptor (CAR+) Cells in Peripheral Blood at 1 Month Post Treatment|CAR and vector presence were quantitated in peripheral blood mononuclear cell (PBMC) samples using established polymerase chain reaction (PCR) techniques|1 month post transplant|Only 1/3 participants were evaluable in cohort 6 at one month, and 2/3 participants were evaluable in cohort 7 at one month. Due to a low number of events, nonspecific binding of anti-human Fab', and slow recovery of the lymphocyte compartment, the data reported should be interpreted with caution.|||K/µL||Full Range|Median
33336656|NCT01454596|Secondary|Number of Participants With Serious and Non-serious Adverse Events Assessed by the Common Terminology Criteria in Adverse Events (CTCAE v4.0)|Here is the count of participants with serious and non-serious adverse events assessed by the Common Terminology Criteria in Adverse Events (CTCAE v4.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|51 dys Grp A, Cohort 1; Cohort 2:68 dys; Cohort 3:40 dys; Grp B, Cohort 1:67 dys; Cohort 2:48 dys; Cohort 3:55 dys; Cohort 4: 46 dys; Cohort 5:147 dys; C. Ster/No Ster Grp, Cohort 6:12 mos, 26 dys; Cohort 7:11 mos, 18 dys; Cohort 8:7 dys; Cohort 9:70 dys.||||Participants|||Count of Participants
33337006|NCT02215967|Primary|Number of Participants With Dose Limiting Toxicities|Dose limiting toxicities are defined as follows: Grade 3 toxicities possibly or probably related to either the anti-BCMA CAR T cells or the fludarabine and cyclophosphamide chemotherapy and lasting more than 7 days. Grade 4 toxicities possibly or probably related to the study interventions.|After the start of treatment and up to 60 days|One participant in Group 9x10(6) did not get CAR T-cells and was deemed ineligible, and 3 participants in Group 9x10(6) were found to be ineligible for treatment.|||Participants|||Count of Participants
33337007|NCT02215967|Primary|Number of Participants With Serious and Non-serious Adverse Events Assessed by the Common Terminology Criteria in Adverse Events (CTCAE v4.0)|Here is the count of participants with serious and non-serious adverse events assessed by the Common Terminology Criteria in Adverse Events (CTCAE v4.0). A non-serious adverse event is any untoward medical occurrence. A serious adverse event is an adverse event or suspected adverse reaction that results in death, a life threatening adverse drug experience, hospitalization, disruption of the ability to conduct normal life functions, congenital anomaly/birth defect or important medical events that jeopardize the patient or subject and may require medical or surgical intervention to prevent one of the previous outcomes mentioned.|Date treatment consent signed to date off study, approx. 3 mos and 7 days for DL 0.3 x 10^6 CAR + T cells, 4 mos and 4 days for 1.0 x 10^6 CAR + T cells, 9 mos and 13 days for 3.0 x 10^6 CAR + T cells, and 48 mos and 12 days for 9.0 x 10^6 CAR + T cells.|One participant in Group 9x10(6) did not get CAR T-cells and was deemed ineligible, and 3 participants in Group 9x10(6) were found to be ineligible for treatment.|||Participants|||Count of Participants
33337008|NCT02215967|Secondary|Number of Participants With Best Response|Best response was assessed by the International Myeloma Working Group response criteria. Partial Remission (PR) is 50% or greater reduction of serum M-protein and 90% or greater reduction in 24-h urinary M-protein. Progressive Disease (PD) is increases of greater or equal to 25% from the lowest post-treatment (nadir) value in serum M-component or urine component or percentage of bone marrow plasma cells. Definite development of new bone lesions or new plasmacytoma. Very Good Partial Remission (VGPR) is serum and urine M-protein detectable by immunofixation but not on electrophoresis. Stringent Complete Remission (sCR) is normal free light chain ratio and absence of clonal cells in bone marrow by immunohistochemistry. Complete Remission is negative immunofixation on the serum and urine. Stable Disease (SD) is not meeting criteria for CR, VGPR, PR or PD.|From start of treatment up to 84 weeks|One participant in Group 9x10(6) did not get CAR T-cells and was deemed ineligible, and 3 participants in Group 9x10(6) were found to be ineligible for treatment.|||Participants|||Count of Participants
33033045|NCT03330834|Primary|Number of Participants With Treatment-Emergent Adverse Events Associated With PD-L1 CAR-T Cell Treatment|"Assessed by the treatment-emergent adverse events as recorded on the case report form, vital signs, laboratory variables, physical examination, electrocardiogram. Treatment-emergent adverse events will be assessed and recorded according to CTCae v4.02.~No statistical analysis was performed becuase the study was terminated after only 1 patient received treatment."|From the date of CAR-T cell infusion through study completion, average 2 years||||Participants|||Count of Participants
33033046|NCT03330834|Secondary|Number of Participants Experiencing a Complete (CR) or Partial (PR) Tumor Response|Tumor response will be assessed according to RECIST V1.1. The overall response rate calculated by the numbers of PR or CR / all patients received treatment. The disease control rate calculated by the numbers of CR PR and stable disease / all patients received treatment.|Every three month through study completion, average 2 years||||Participants|||Count of Participants
33033047|NCT03330834|Other Pre-specified|Numbers of Patients Received Surveillance of PD-L1 CAR-T Cells in Vivo|Using flow cytometry to count of PD-L1 CAR-T cells, calculated the CAR-T cells existence by time after the infusion.|Day 7 after CAR-T cell infusion, and every 2 months up to 2 years|Only 1 patients received treatment and accepted the surveillance of PD-L1 CAR-T cells, and only one detection was performed at Day 7 time point|||Participants|||Count of Participants
33033048|NCT03330834|Other Pre-specified|Assessment of Count of the Functional B Cells in Peripheral Blood.|Exploring the correlation of the immune functions of pre- and post-CAR-T cell treatments with the treatment safety and efficacy.|Baseline, day 7 and 30 after the CAR-T cell infusion|||||||
33033049|NCT03330834|Other Pre-specified|Assessment of Count of the Functional T Cells in Peripheral Blood.|Exploring the correlation of the immune functions of pre- and post-CAR-T cell treatments with the treatment safety and efficacy.|Baseline, day 7 and 30 after the CAR-T cell infusion|||||||
33242400|NCT04097301|Primary|Phase I: Maximum Tolerated Dose (MTD) and the Recommended Phase IIa Dose of MLM-CAR44.1 T-cells in AML and MM|MTD established through BOIN design and the dose-limiting toxicities (DLTs) occurring following CAR T-cell infusion.|Within 30 days following CAR T-cell infusion, assessed as day 0|Data were not collected due to early end of trial||||||
33242401|NCT04097301|Primary|Phase I: Overall Safety of Treatment With MLM-CAR44.1 T-cells|"Safety will be evaluated by analyzing the type, frequency and severity of adverse events (AE) and by monitoring for systemic reactions (fever, tachycardia, nausea and vomiting, joint pain, skin rash).~Overall, 3 study emergent serious adverse events (SAEs) were reported in patients treated with MLM-CAR44.1 T-cells."|For 30 days following CAR T-cell infusion, assessed as day 0.||||Number of SAEs|||Number
33242402|NCT04097301|Primary|Phase I: Absence of Replication Competent Retrovirus (RCR) in Blood Specimens: 3 Months Post-infusion|"The absence of replication competent retrovirus (RCR) in blood specimens: 3 months post-infusion will be monitored by DNA PCR for the Galv gene.~RCR search was conducted centrally using a quantitative molecular test, (real time quantitative PCR, q-PCR analysis) determining the absence of RCR by DNA PCR for the Galv and gag-pol genes on genomic DNA from patient's peripheral blood lymphocytes. The objective of this q-PCR analysis is to exclude the presence of RCR originated by recombination with PG13 packaging cell sequences by detecting the Galv and gag-pol transcripts in the transduced cells. The absence of the Galv and gag-pol transcripts can exclude the presence of an RCR, while its presence is not sufficient to indicate the presence of an RCR, and in this case further analysis is required."|3 months after infusion (assessed as day 0)||||Participants|||Count of Participants
33242403|NCT04097301|Primary|Phase I: Absence of Replication Competent Retrovirus (RCR) in Blood Specimens: 6 Months Post-infusion|"The absence of replication competent retrovirus (RCR) in blood specimens will be monitored by DNA PCR for the Galv gene.~RCR search was conducted centrally using a quantitative molecular test, (real time quantitative PCR, q-PCR analysis) determining the absence of RCR by DNA PCR for the Galv and gag-pol genes on genomic DNA from patient's peripheral blood lymphocytes. The objective of this q-PCR analysis is to exclude the presence of RCR originated by recombination with PG13 packaging cell sequences by detecting the Galv and gag-pol transcripts in the transduced cells. The absence of the Galv and gag-pol transcripts can exclude the presence of an RCR, while its presence is not sufficient to indicate the presence of an RCR, and in this case further analysis is required"|6 months after infusion (assessed as day 0)||||Participants|||Count of Participants
33242404|NCT04097301|Primary|Phase I: Absence of Replication Competent Retrovirus (RCR) in Blood Specimens: 12 Months Post-infusion|The absence of replication competent retrovirus (RCR) in blood specimens will be monitored by DNA PCR for the Galv gene.|12 months after infusion (assessed as day 0)|Data were not collected due to early end of trial||||||
33242405|NCT04097301|Primary|Phase I: Absence of Replication Competent Retrovirus (RCR) in Blood Specimens: 24 Months Post-infusion|The absence of replication competent retrovirus (RCR) in blood specimens will be monitored by DNA PCR for the Galv gene.|24 months after infusion (assessed as day 0)|Data were not collected due to early end of trial||||||
33242406|NCT04097301|Primary|Phase IIa: Hematological Disease Response to MLM-CAR44.1 T-cells in AML.|The hematologic disease response will be classified according to ELN criteria.|2 months after MLM-CAR44.1 T-cell infusion, assessed as day 0|Data were not collected because Phase IIa was not performed due to early end of trial||||||
33242407|NCT04097301|Primary|Phase IIa: Hematological Disease Response to MLM-CAR44.1 T-cells in MM|The hematologic disease response will be classified according to IMWG criteria|3 months after T-cell infusion, assessed as day 0|Data were not collected because Phase IIa was not performed due to early end of trial|||Participants|||Count of Participants
33242408|NCT04097301|Secondary|Phase I: Hematologic Disease Response to MLM-CAR44.1 T-cells in AML|The hematologic disease response will be classified with the following response criteria: complete response (CR), incomplete response (CRi) and partial response (PR) according to ELN criteria.|1 and 2 months following T-cell infusion, assessed as day 0|Data were not collected because no AML patients were enrolled||||||
33242409|NCT04097301|Secondary|Phase I: Hematologic Disease Response to MLM-CAR44.1 T-cells in MM|Hematologic disease response evaluated at Day 28 following CART-cell infusion, as overall response rate (ORR), stringent complete response (sCR), CR, very good partial response (VGPR) and partial response (PR).|1 and 3 months following T-cell infusion, assessed as day 0|Hematologic disease response of the two treated patients was evaluated at Day 28 following CART-cell infusion. Both patients showed a progressive disease (PD) and no sign of response.|||Participants|||Count of Participants
